VG	ID
35	3.85E-05
36	3.82E-05
37	3.78E-05
38	3.73E-05
39	3.70E-05
40	3.66E-05
41	3.62E-05
42	3.58E-05
43	3.54E-05
44	3.50E-05
45	3.46E-05
46	3.42E-05
47	3.38E-05
48	3.34E-05
49	3.30E-05
50	3.27E-05
51	3.22E-05
52	3.18E-05
53	3.14E-05
54	3.10E-05
55	3.05E-05
56	3.01E-05
57	2.96E-05
58	2.92E-05
59	2.87E-05
60	2.82E-05
61	2.78E-05
62	2.73E-05
63	2.68E-05
64	2.62E-05
65	2.57E-05
66	2.51E-05
67	2.46E-05
68	2.40E-05
69	2.34E-05
70	2.28E-05
71	2.21E-05
72	2.15E-05
73	2.09E-05
74	2.02E-05
75	1.96E-05
76	1.90E-05
77	1.85E-05
78	1.79E-05
79	1.74E-05
80	1.70E-05
81	1.66E-05
82	1.63E-05
83	1.60E-05
84	1.59E-05
85	1.58E-05
86	1.58E-05
87	1.59E-05
88	1.61E-05
89	1.63E-05
90	1.66E-05
91	1.69E-05
92	1.72E-05
93	1.76E-05
94	1.79E-05
95	1.83E-05
96	1.77E-05
97	1.80E-05
98	1.84E-05
99	1.88E-05
100	1.93E-05
-20	6.36E-05
-19	6.29E-05
-18	6.24E-05
-17	6.17E-05
-16	6.12E-05
-15	6.07E-05
-14	6.00E-05
-13	5.94E-05
-12	5.88E-05
-11	5.82E-05
-10	5.75E-05
-9	5.70E-05
-8	5.63E-05
-7	5.58E-05
-6	5.52E-05
-5	5.46E-05
-4	5.40E-05
-3	5.35E-05
-2	5.29E-05
-1	5.24E-05
0	5.17E-05
1	5.12E-05
2	5.07E-05
3	5.02E-05
4	4.97E-05
5	4.92E-05
6	4.86E-05
7	4.82E-05
8	4.76E-05
9	4.72E-05
10	4.67E-05
11	4.61E-05
12	4.57E-05
13	4.52E-05
14	4.47E-05
15	4.42E-05
16	4.37E-05
17	4.33E-05
18	4.28E-05
19	4.23E-05
20	4.18E-05
21	4.13E-05
22	4.09E-05
23	4.04E-05
24	4.00E-05
25	3.96E-05
26	3.91E-05
27	3.87E-05
28	3.82E-05
29	3.78E-05
30	3.74E-05
31	3.71E-05
32	3.67E-05
33	3.63E-05
34	3.59E-05
35	3.55E-05
36	3.51E-05
37	3.48E-05
38	3.45E-05
39	3.41E-05
40	3.37E-05
41	3.34E-05
42	3.31E-05
43	3.27E-05
44	3.23E-05
